dataset,encoder,patient_id,n_patches,featnorm_mean
ebrains,hoptimus,a1965733-357f-11eb-8d99-001a7dda7111,2954.0,34.384092544008126
ebrains,hoptimus,a196573d-357f-11eb-8282-001a7dda7111,180.0,33.03420138888889
ebrains,hoptimus,a196573e-357f-11eb-adf2-001a7dda7111,276.0,33.24620697463768
ebrains,hoptimus,a1965740-357f-11eb-a3e4-001a7dda7111,217.0,34.36448732718894
ebrains,hoptimus,a1965743-357f-11eb-be52-001a7dda7111,4215.0,31.99044335705813
ebrains,hoptimus,a1965745-357f-11eb-aeae-001a7dda7111,2257.0,33.768767999556935
ebrains,hoptimus,a1965749-357f-11eb-801a-001a7dda7111,516.0,32.43377543604651
ebrains,hoptimus,a196574a-357f-11eb-a0d8-001a7dda7111,1545.0,31.094508495145632
ebrains,hoptimus,a1965751-357f-11eb-909f-001a7dda7111,6435.0,34.37366938616939
ebrains,hoptimus,a1965752-357f-11eb-91da-001a7dda7111,2832.0,33.988844014830505
ebrains,hoptimus,a1965756-357f-11eb-b1e0-001a7dda7111,635.0,31.28587598425197
ebrains,hoptimus,a1965759-357f-11eb-9c4f-001a7dda7111,309.0,33.793031957928804
ebrains,hoptimus,a196575c-357f-11eb-9dff-001a7dda7111,357.0,33.619135154061624
ebrains,hoptimus,a1965760-357f-11eb-932f-001a7dda7111,3150.0,32.24188988095238
ebrains,hoptimus,a1965763-357f-11eb-8703-001a7dda7111,1871.0,30.949316876002136
ebrains,hoptimus,a1965766-357f-11eb-92da-001a7dda7111,4232.0,30.92926290760869
ebrains,hoptimus,a1965769-357f-11eb-979d-001a7dda7111,5864.0,31.74447369542974
ebrains,hoptimus,a196576b-357f-11eb-b10e-001a7dda7111,5323.0,33.62646475201954
ebrains,hoptimus,a1965771-357f-11eb-821a-001a7dda7111,1920.0,34.7831787109375
ebrains,hoptimus,a1965781-357f-11eb-8a50-001a7dda7111,173.0,31.7659862716763
ebrains,hoptimus,a1965782-357f-11eb-8f87-001a7dda7111,3572.0,32.983906949888016
ebrains,hoptimus,a1965786-357f-11eb-9e26-001a7dda7111,2718.0,33.016797737306845
ebrains,hoptimus,a196578a-357f-11eb-bcaa-001a7dda7111,2302.0,31.06193663119027
ebrains,hoptimus,a196578b-357f-11eb-a121-001a7dda7111,790.0,32.1465585443038
ebrains,hoptimus,a1965797-357f-11eb-bdba-001a7dda7111,4932.0,34.330957268856444
ebrains,hoptimus,a1965798-357f-11eb-bfa0-001a7dda7111,3573.0,34.690749195354044
